bssamt,plnprc,bidNtceNo
37000030,36609375,R25BK00694733
46310000,46073625,R25BK00695262
79562700,79361275,R25BK00696700
,,R25BK00694290
8880000,8935875,R25BK00694677
,,R25BK00694320
42000000,41667500,R25BK00693814
284570,281331.6,R25BK00690965
109000000,108933300,R25BK00695234
22920000,22662650,R25BK00694899
,,R25BK00696992
99343000,99870550,R25BK00696189
56000000,55880200,R25BK00697015
70668720,71160800,R25BK00696971
58355000,58900800,R25BK00691413
63860000,63686825,R25BK00696955
284730,285420.48,R25BK00690393
284570,283362.01,R25BK00690896
49852000,49541600,R25BK00696476
29900000,30086150,R25BK00696073
81810000,81652125,R25BK00696344
50000000,49861125,R25BK00695767
,,R25BK00691299
21396600,21491475,R25BK00694157
26367500,26227225,R25BK00672286
10080000,10098150,R25BK00694781
68238000,68287200,R25BK00694759
80940000,81150925,R25BK00696556
,,R25BK00644033
,131270000,R25BK00700050
,702900000,R25BK00702569
,871600000,R25BK00702779
,393200000,R25BK00704681
,,R25BK00659867
,20867000,R25BK00711251
,,R25BK00685313
,109000000,R25BK00704714
,,R25BK00689343
,4615710000,R25BK00698462
,147750000,R25BK00705731
,117650000,R25BK00706574
,108130000,R25BK00707795
,244900000,R25BK00697557
,297000000,R25BK00706208
,215900000,R25BK00701852
,172872000,R25BK00691078
61137600,60879650,R25BK00690434
,,R25BK00693911
,,R25BK00691656
,,R25BK00694219
,,R25BK00693831
,,R25BK00695010
,,R25BK00681795
,,R25BK00680441
,,R25BK00659232
,,R25BK00667024
,,R25BK00647214
,,R25BK00649157
,,R25BK00645031
,22000000,R25BK00711441
,50919000,R25BK00712907
,100000000,R25BK00712217
,3480000,R25BK00712613
,17019000,R25BK00712884
,39200000,R25BK00710482
,72000000,R25BK00707428
,16688000,R25BK00712844
,70000000,R25BK00707352
,25869000,R25BK00707052
,788000000,R25BK00708002
,680635000,R25BK00710531
,288605000,R25BK00710566
,21560000,R25BK00709102
,22000000,R25BK00710330
,97900000,R25BK00710693
77000000,77329025,R25BK00699090
80817000,79929275,R25BK00695913
15224290,15273250,R25BK00699829
60448212,60454150,R25BK00685965
,144100000,R25BK00706631
,1942752000,R25BK00703539
,50000000,R25BK00712505
260900000,258916550,R25BK00687683
193000000,192279175,R25BK00687778
282200000,281916425,R25BK00687558
,195561264,R25BK00711731
,157280000,R25BK00711749
,65660000,R25BK00708581
,5376970,R25BK00706323
,166600000,R25BK00708714
,225400000,R25BK00697814
,10308540000,R25BK00700895
137840000,136782100,R25BK00698028
173200000,171309125,R25BK00688760
90911000,90337850,R25BK00686798
237600000,236767850,R25BK00691128
115500000,116289475,R25BK00686125
138248000,137964300,R25BK00688855
855500000,849342625,R25BK00691002
153938000,151754050,R25BK00688830
528000000,530088275,R25BK00692544
33150000,33139850,R25BK00681152
79600000,78902375,R25BK00669253
,,R25BK00680500
,,R25BK00682382
,,R25BK00682801
,19910000,R25BK00713266
,21000000,R25BK00712413
,21912000,R25BK00712378
,627572000,R25BK00712326
,80000000,R25BK00708783
,940000000,R25BK00710312
,31700000,R25BK00703138
,21450000,R25BK00710016
,205062000,R25BK00710969
,392000000,R25BK00705280
,7820600,R25BK00702000
,11484000,R25BK00708475
,49500000,R25BK00709860
,9600000,R25BK00708541
,160000000,R25BK00707540
45710000,45768775,R25BK00681250
32597000,32696375,R25BK00685257
44355000,44224675,R25BK00704992
1155000,1158739.32,R25BK00699468
,,R25BK00695750
23150000,23235000,R25BK00696690
,,R25BK00696973
71100000,70857250,R25BK00696000
30000000,30120675,R25BK00697548
53180000,53657325,R25BK00700066
49310000,49533925,R25BK00692360
54735000,54516525,R25BK00695820
31115000,31065650,R25BK00696019
34450000,34401125,R25BK00692350
37060000,36962850,R25BK00690277
97579000,97654175,R25BK00694726
149827000,148080391.76,R25BK00687467
,,R25BK00676605
,,R25BK00667685
109814000,110019925,R25BK00658893
139298000,139583975,R25BK00640730
,,R25BK00673451
,,R25BK00677930
,,R25BK00681474
,,R25BK00681494
,,R25BK00681441
,,R25BK00676753
,,R25BK00673776
,,R25BK00647012
,30500,R25BK00668171
,,R25BK00697530
50000000,50266750,R25BK00700211
,6000000,R25BK00712458
168700000,169352900,R25BK00687382
,,R25BK00649118
,169200000,R25BK00711133
,124600000,R25BK00703500
37000000,36707575,R25BK00682074
188035000,186122275,R25BK00691255
,,R25BK00695651
38511000,38436150,R25BK00682983
162027000,162703100,R25BK00691941
269277800,270177250,R25BK00669251
,,R25BK00676797
52000000,51650750,R25BK00689113
,,R25BK00676285
,,R25BK00681808
,,R25BK00676190
,,R25BK00672045
,,R25BK00675471
,,R25BK00681992
,,R25BK00665150
,,R25BK00639352
,26405000,R25BK00713154
,88200000,R25BK00712430
,10000000,R25BK00711588
,,R25BK00712936
,10000000,R25BK00711923
,156120175,R25BK00711987
,30336000,R25BK00710308
302500,302923.51,R25BK00694520
99419540,99419100,R25BK00699820
99419540,99277400,R25BK00699765
,,R25BK00698459
76379000,74964725,R25BK00698106
,,R25BK00698272
25770000,25984025,R25BK00700170
99864000,100114975,R25BK00689872
22981000,23077700,R25BK00697363
99419540,99686550,R25BK00699807
99419540,98863100,R25BK00699788
29947820,29875600,R25BK00698821
14550000,14541325,R25BK00694576
93016000,91780325,R25BK00691773
26697000,26583250,R25BK00694952
,,R25BK00691086
,8358000,R25BK00712084
,29400000,R25BK00712420
,20000000,R25BK00713841
,,R25BK00677551
,,R25BK00674921
,146900000,R25BK00704780
,472000000,R25BK00703592
,216810000,R25BK00704543
,384200000,R25BK00673890
214755200,212031625,R25BK00688966
,,R25BK00684476
,,R25BK00674514
40000000,39921400,R25BK00660222
,,R25BK00666483
,53500000,R25BK00711429
,20000000,R25BK00713822
,20000000,R25BK00712882
,1518000,R25BK00712971
,37629400,R25BK00713317
,50000000,R25BK00710702
,50000000,R25BK00710145
,12400000,R25BK00710668
27900000,27927132.76,R25BK00696986
,,R25BK00696917
,,R25BK00696587
48840000,48481325,R25BK00703474
26516000,26389075,R25BK00698054
65780000,65726450,R25BK00701276
39920000,39730525,R25BK00700940
14850000,14890775,R25BK00671495
,,R25BK00698157
25000000,24796200,R25BK00697029
70158000,69377525,R25BK00696071
90200000,91057175,R25BK00696070
374000,373368.88,R25BK00695962
,2659500000,R25BK00704837
,84000000,R25BK00713199
,15631330,R25BK00714212
,4364310,R25BK00713016
,,R25BK00693836
,,R25BK00673564
,,R25BK00682963
,,R25BK00654025
,,R25BK00677803
,,R25BK00680520
,,R25BK00680223
99512000,98249750,R25BK00672909
,,R25BK00663794
,,R25BK00664070
,,R25BK00664063
,,R25BK00654563
,,R25BK00660788
,70000000,R25BK00714355
,2568000,R25BK00714628
,88000000,R25BK00711154
80000000,80681600,R25BK00697669
20660940,20629475,R25BK00695707
93563800,94163625,R25BK00706697
,20000000,R25BK00714749
,,R25BK00679007
,,R25BK00682534
,60500000,R25BK00699705
,,R25BK00680039
,,R25BK00681836
,,R25BK00680862
,,R25BK00672370
,,R25BK00678270
,,R25BK00684130
,,R25BK00680960
,,R25BK00681930
,,R25BK00666033
,,R25BK00638405
,,R25BK00664488
,157704000,R25BK00713792
,3004334,R25BK00713901
,206017110,R25BK00712139
,8560800,R25BK00705959
,,R25BK00698991
,38000000,R25BK00709053
,,R25BK00695414
,,R25BK00684673
,,R25BK00681969
,,R25BK00685205
,,R25BK00684148
7000,6946.38,R25BK00697452
109569880,109636500,R25BK00680453
200696000,199141150,R25BK00658694
179900000,179627500,R25BK00645148
,,R25BK00674632
,,R25BK00686339
,,R25BK00702916
,,R25BK00686533
,2012696,R25BK00712508
,,R25BK00693263
